real;plane;angle;serial;error;opti
16.0;yaw;0.0;16.453771591186523;0.36038780212402344;16.0933837890625
16.0;yaw;0.0;16.453771591186523;0.36038780212402344;16.0933837890625
16.0;yaw;0.0;16.453771591186523;0.36038780212402344;16.0933837890625
16.0;yaw;0.0;16.453771591186523;0.36038780212402344;16.0933837890625
16.0;yaw;0.0;16.453771591186523;0.36038780212402344;16.0933837890625
16.0;yaw;0.0;16.453771591186523;0.3603858947753906;16.093385696411133
16.0;yaw;0.0;16.453771591186523;0.3603858947753906;16.093385696411133
16.0;yaw;0.0;16.453771591186523;0.3603858947753906;16.093385696411133
16.0;yaw;0.0;16.453771591186523;0.3603858947753906;16.093385696411133
16.0;yaw;0.0;16.472532272338867;0.3791465759277344;16.093385696411133
16.0;yaw;0.0;16.453771591186523;0.3603858947753906;16.093385696411133
16.0;yaw;0.0;16.43501091003418;0.3416252136230469;16.093385696411133
16.0;yaw;0.0;16.453771591186523;0.36209869384765625;16.091672897338867
16.0;yaw;0.0;16.472532272338867;0.380859375;16.091672897338867
16.0;yaw;0.0;16.453771591186523;0.36209869384765625;16.091672897338867
16.0;yaw;0.0;16.453771591186523;0.36209869384765625;16.091672897338867
16.0;yaw;0.0;16.472532272338867;0.380859375;16.091672897338867
16.0;yaw;0.0;16.43501091003418;0.3433380126953125;16.091672897338867
16.0;yaw;0.0;16.453771591186523;0.36209869384765625;16.091672897338867
16.0;yaw;0.0;16.472532272338867;0.380859375;16.091672897338867
16.0;yaw;0.0;16.453771591186523;0.3620166778564453;16.091754913330078
16.0;yaw;0.0;16.453771591186523;0.3620166778564453;16.091754913330078
16.0;yaw;0.0;16.472532272338867;0.38077735900878906;16.091754913330078
16.0;yaw;0.0;16.472532272338867;0.38077735900878906;16.091754913330078
16.0;yaw;0.0;16.453771591186523;0.3620166778564453;16.091754913330078
16.0;yaw;0.0;16.43501091003418;0.34325599670410156;16.091754913330078
16.0;yaw;0.0;16.472532272338867;0.38077735900878906;16.091754913330078
16.0;yaw;0.0;16.453771591186523;0.3620033264160156;16.091768264770508
16.0;yaw;0.0;16.472532272338867;0.3807640075683594;16.091768264770508
16.0;yaw;0.0;16.43501091003418;0.3432426452636719;16.091768264770508
16.0;yaw;0.0;16.43501091003418;0.3432426452636719;16.091768264770508
16.0;yaw;0.0;16.453771591186523;0.3620033264160156;16.091768264770508
16.0;yaw;0.0;16.453771591186523;0.3620033264160156;16.091768264770508
16.0;yaw;0.0;16.472532272338867;0.3807640075683594;16.091768264770508
16.0;yaw;0.0;16.43501091003418;0.34322357177734375;16.091787338256836
16.0;yaw;0.0;16.43501091003418;0.34322357177734375;16.091787338256836
16.0;yaw;0.0;16.416248321533203;0.3244609832763672;16.091787338256836
16.0;yaw;0.0;16.472532272338867;0.38074493408203125;16.091787338256836
16.0;yaw;0.0;16.453771591186523;0.3619842529296875;16.091787338256836
16.0;yaw;0.0;16.472532272338867;0.38074493408203125;16.091787338256836
16.0;yaw;0.0;16.43501091003418;0.34322357177734375;16.091787338256836
16.0;yaw;0.0;16.43501091003418;0.34322357177734375;16.091787338256836
16.0;yaw;0.0;16.472532272338867;0.380706787109375;16.091825485229492
16.0;yaw;0.0;16.510055541992188;0.4182300567626953;16.091825485229492
16.0;yaw;0.0;16.472532272338867;0.380706787109375;16.091825485229492
16.0;yaw;0.0;16.43501091003418;0.3431854248046875;16.091825485229492
16.0;yaw;0.0;16.472532272338867;0.380706787109375;16.091825485229492
16.0;yaw;0.0;16.453771591186523;0.36194610595703125;16.091825485229492
16.0;yaw;0.0;16.43501091003418;0.3431854248046875;16.091825485229492
16.0;yaw;0.0;16.491294860839844;0.3994712829589844;16.09182357788086
16.0;yaw;0.0;16.472532272338867;0.3807086944580078;16.09182357788086
16.0;yaw;0.0;16.472532272338867;0.3807086944580078;16.09182357788086
16.0;yaw;0.0;16.43501091003418;0.3431873321533203;16.09182357788086
16.0;yaw;0.0;16.43501091003418;0.3431873321533203;16.09182357788086
16.0;yaw;0.0;16.453771591186523;0.36194801330566406;16.09182357788086
16.0;yaw;0.0;16.453771591186523;0.36194801330566406;16.09182357788086
16.0;yaw;0.0;16.472532272338867;0.38079833984375;16.091733932495117
16.0;yaw;0.0;16.472532272338867;0.38079833984375;16.091733932495117
16.0;yaw;0.0;16.416248321533203;0.32451438903808594;16.091733932495117
16.0;yaw;0.0;16.472532272338867;0.38079833984375;16.091733932495117
16.0;yaw;0.0;16.453771591186523;0.36203765869140625;16.091733932495117
16.0;yaw;0.0;16.453771591186523;0.36203765869140625;16.091733932495117
16.0;yaw;0.0;16.453771591186523;0.36203765869140625;16.091733932495117
16.0;yaw;0.0;16.472532272338867;0.38080406188964844;16.09172821044922
16.0;yaw;0.0;16.43501091003418;0.34328269958496094;16.09172821044922
16.0;yaw;0.0;16.43501091003418;0.34328269958496094;16.09172821044922
16.0;yaw;0.0;16.453771591186523;0.3620433807373047;16.09172821044922
16.0;yaw;0.0;16.416248321533203;0.3245201110839844;16.09172821044922
16.0;yaw;0.0;16.453771591186523;0.3620433807373047;16.09172821044922
16.0;yaw;0.0;16.491294860839844;0.399566650390625;16.09172821044922
16.0;yaw;0.0;16.453771591186523;0.3620433807373047;16.09172821044922
16.0;yaw;0.0;16.43501091003418;0.3433094024658203;16.09170150756836
16.0;yaw;0.0;16.453771591186523;0.36207008361816406;16.09170150756836
16.0;yaw;0.0;16.472532272338867;0.3808307647705078;16.09170150756836
